gene_ID	transcript_ID	annot_gene_id	annot_transcript_id	annot_gene_name	annot_transcript_name	n_exons	length	gene_novelty	transcript_novelty	ISM_subtype	GM12878_Rep1_GM12878_batch1	GM12878_Rep2_GM12878_batch1
SIRV1.1	SIRV1.1-SIRV101	SIRV1.1	SIRV1.1-SIRV101	SIRV1.1	SIRV1.1-SIRV101	-1	-1	Known	Known	-1	40.0	89.0
SIRV1.1	SIRV1.1-SIRV103	SIRV1.1	SIRV1.1-SIRV103	SIRV1.1	SIRV1.1-SIRV103	-1	-1	Known	Known	-1	210.0	431.0
SIRV1.1	SIRV1.1-SIRV106	SIRV1.1	SIRV1.1-SIRV106	SIRV1.1	SIRV1.1-SIRV106	-1	-1	Known	Known	-1	18.0	63.0
SIRV2.1	SIRV2.1-SIRV201	SIRV2.1	SIRV2.1-SIRV201	SIRV2.1	SIRV2.1-SIRV201	-1	-1	Known	Known	-1	222.0	448.0
SIRV2.1	SIRV2.1-SIRV202	SIRV2.1	SIRV2.1-SIRV202	SIRV2.1	SIRV2.1-SIRV202	-1	-1	Known	Known	-1	239.0	503.0
SIRV2.1	SIRV2.1-SIRV204	SIRV2.1	SIRV2.1-SIRV204	SIRV2.1	SIRV2.1-SIRV204	-1	-1	Known	Known	-1	22.0	62.0
SIRV3.1	SIRV3.1-SIRV301	SIRV3.1	SIRV3.1-SIRV301	SIRV3.1	SIRV3.1-SIRV301	-1	-1	Known	Known	-1	332.0	594.0
SIRV3.1	SIRV3.1-SIRV304	SIRV3.1	SIRV3.1-SIRV304	SIRV3.1	SIRV3.1-SIRV304	-1	-1	Known	Known	-1	129.0	281.0
SIRV3.1	SIRV3.1-SIRV305	SIRV3.1	SIRV3.1-SIRV305	SIRV3.1	SIRV3.1-SIRV305	-1	-1	Known	Known	-1	8.0	25.0
SIRV3.1	SIRV3.1-SIRV306	SIRV3.1	SIRV3.1-SIRV306	SIRV3.1	SIRV3.1-SIRV306	-1	-1	Known	Known	-1	187.0	251.0
SIRV3.1	SIRV3.1-SIRV307	SIRV3.1	SIRV3.1-SIRV307	SIRV3.1	SIRV3.1-SIRV307	-1	-1	Known	Known	-1	48.0	136.0
SIRV3.2	SIRV3.2-SIRV308	SIRV3.2	SIRV3.2-SIRV308	SIRV3.2	SIRV3.2-SIRV308	-1	-1	Known	Known	-1	20.0	64.0
SIRV3.2	SIRV3.2-SIRV309	SIRV3.2	SIRV3.2-SIRV309	SIRV3.2	SIRV3.2-SIRV309	-1	-1	Known	Known	-1	57.0	117.0
SIRV3.2	SIRV3.2-SIRV310	SIRV3.2	SIRV3.2-SIRV310	SIRV3.2	SIRV3.2-SIRV310	-1	-1	Known	Known	-1	16.0	64.0
SIRV4.1	SIRV4.1-SIRV403	SIRV4.1	SIRV4.1-SIRV403	SIRV4.1	SIRV4.1-SIRV403	-1	-1	Known	Known	-1	107.0	229.0
SIRV4.1	SIRV4.1-SIRV404	SIRV4.1	SIRV4.1-SIRV404	SIRV4.1	SIRV4.1-SIRV404	-1	-1	Known	Known	-1	1.0	7.0
SIRV4.1	SIRV4.1-SIRV406	SIRV4.1	SIRV4.1-SIRV406	SIRV4.1	SIRV4.1-SIRV406	-1	-1	Known	Known	-1	39.0	112.0
SIRV4.1	SIRV4.1-SIRV408	SIRV4.1	SIRV4.1-SIRV408	SIRV4.1	SIRV4.1-SIRV408	-1	-1	Known	Known	-1	45.0	92.0
SIRV4.2	SIRV4.2-SIRV409	SIRV4.2	SIRV4.2-SIRV409	SIRV4.2	SIRV4.2-SIRV409	-1	-1	Known	Known	-1	236.0	466.0
SIRV5.1	SIRV5.1-SIRV501	SIRV5.1	SIRV5.1-SIRV501	SIRV5.1	SIRV5.1-SIRV501	-1	-1	Known	Known	-1	59.0	136.0
SIRV5.1	SIRV5.1-SIRV510	SIRV5.1	SIRV5.1-SIRV510	SIRV5.1	SIRV5.1-SIRV510	-1	-1	Known	Known	-1	291.0	615.0
SIRV6.1	SIRV6.1-SIRV601	SIRV6.1	SIRV6.1-SIRV601	SIRV6.1	SIRV6.1-SIRV601	-1	-1	Known	Known	-1	173.0	243.0
SIRV6.1	SIRV6.1-SIRV602	SIRV6.1	SIRV6.1-SIRV602	SIRV6.1	SIRV6.1-SIRV602	-1	-1	Known	Known	-1	32.0	76.0
SIRV6.1	SIRV6.1-SIRV604	SIRV6.1	SIRV6.1-SIRV604	SIRV6.1	SIRV6.1-SIRV604	-1	-1	Known	Known	-1	138.0	207.0
SIRV6.1	SIRV6.1-SIRV611	SIRV6.1	SIRV6.1-SIRV611	SIRV6.1	SIRV6.1-SIRV611	-1	-1	Known	Known	-1	7.0	19.0
SIRV6.1	SIRV6.1-SIRV612	SIRV6.1	SIRV6.1-SIRV612	SIRV6.1	SIRV6.1-SIRV612	-1	-1	Known	Known	-1	168.0	192.0
SIRV6.1	SIRV6.1-SIRV616	SIRV6.1	SIRV6.1-SIRV616	SIRV6.1	SIRV6.1-SIRV616	-1	-1	Known	Known	-1	45.0	110.0
SIRV7.1	SIRV7.1-SIRV701	SIRV7.1	SIRV7.1-SIRV701	SIRV7.1	SIRV7.1-SIRV701	-1	-1	Known	Known	-1	397.0	632.0
SIRV7.1	SIRV7.1-SIRV702	SIRV7.1	SIRV7.1-SIRV702	SIRV7.1	SIRV7.1-SIRV702	-1	-1	Known	Known	-1	46.0	66.0
SIRV7.1	SIRV7.1-SIRV703	SIRV7.1	SIRV7.1-SIRV703	SIRV7.1	SIRV7.1-SIRV703	-1	-1	Known	Known	-1	247.0	445.0
SIRV7.1	SIRV7.1-SIRV706	SIRV7.1	SIRV7.1-SIRV706	SIRV7.1	SIRV7.1-SIRV706	-1	-1	Known	Known	-1	108.0	278.0
SIRV6.1	m54284U_191110_105540/109773333/ccs	SIRV6.1	m54284U_191110_105540/109773333/ccs	SIRV6.1	m54284U_191110_105540/109773333/ccs	-1	-1	Known	Novel	-1	232.0	531.0
SIRV7.1	m54284U_191110_105540/149293906/ccs	SIRV7.1	m54284U_191110_105540/149293906/ccs	SIRV7.1	m54284U_191110_105540/149293906/ccs	-1	-1	Known	Novel	-1	76.0	153.0
SIRV5.1	m54284U_191110_105540/150144691/ccs	SIRV5.1	m54284U_191110_105540/150144691/ccs	SIRV5.1	m54284U_191110_105540/150144691/ccs	-1	-1	Known	Novel	-1	6.0	5.0
SIRV5.1	m54284U_191110_105540/154534466/ccs	SIRV5.1	m54284U_191110_105540/154534466/ccs	SIRV5.1	m54284U_191110_105540/154534466/ccs	-1	-1	Known	Novel	-1	26.0	54.0
SIRV6.1	m54284U_191110_105540/160433757/ccs	SIRV6.1	m54284U_191110_105540/160433757/ccs	SIRV6.1	m54284U_191110_105540/160433757/ccs	-1	-1	Known	Novel	-1	4.0	3.0
SIRV1.1	m54284U_191110_105540/162530590/ccs	SIRV1.1	m54284U_191110_105540/162530590/ccs	SIRV1.1	m54284U_191110_105540/162530590/ccs	-1	-1	Known	Novel	-1	56.0	147.0
SIRV5.1	m54284U_191110_105540/170067324/ccs	SIRV5.1	m54284U_191110_105540/170067324/ccs	SIRV5.1	m54284U_191110_105540/170067324/ccs	-1	-1	Known	Novel	-1	24.0	64.0
SIRV7.1	m54284U_191110_105540/32572372/ccs	SIRV7.1	m54284U_191110_105540/32572372/ccs	SIRV7.1	m54284U_191110_105540/32572372/ccs	-1	-1	Known	Novel	-1	3.0	2.0
SIRV2.1	m54284U_191110_105540/39717193/ccs	SIRV2.1	m54284U_191110_105540/39717193/ccs	SIRV2.1	m54284U_191110_105540/39717193/ccs	-1	-1	Known	Novel	-1	1.0	8.0
SIRV2.1	m54284U_191110_105540/46270857/ccs	SIRV2.1	m54284U_191110_105540/46270857/ccs	SIRV2.1	m54284U_191110_105540/46270857/ccs	-1	-1	Known	Novel	-1	4.0	5.0
SIRV4.2	m54284U_191110_105540/55771583/ccs	SIRV4.2	m54284U_191110_105540/55771583/ccs	SIRV4.2	m54284U_191110_105540/55771583/ccs	-1	-1	Known	Novel	-1	174.0	405.0
SIRV5.1	m54284U_191110_105540/63178592/ccs	SIRV5.1	m54284U_191110_105540/63178592/ccs	SIRV5.1	m54284U_191110_105540/63178592/ccs	-1	-1	Known	Novel	-1	2.0	2.0
SIRV5.1	m54284U_191110_105540/94765631/ccs	SIRV5.1	m54284U_191110_105540/94765631/ccs	SIRV5.1	m54284U_191110_105540/94765631/ccs	-1	-1	Known	Novel	-1	3.0	3.0
SIRV5.1	m54284U_191111_172039/130877499/ccs	SIRV5.1	m54284U_191111_172039/130877499/ccs	SIRV5.1	m54284U_191111_172039/130877499/ccs	-1	-1	Known	Novel	-1	3.0	1.0
SIRV5.1	m54284U_191111_172039/141429059/ccs	SIRV5.1	m54284U_191111_172039/141429059/ccs	SIRV5.1	m54284U_191111_172039/141429059/ccs	-1	-1	Known	Novel	-1	670.0	1225.0
SIRV6.1	m54284U_191111_172039/15009376/ccs	SIRV6.1	m54284U_191111_172039/15009376/ccs	SIRV6.1	m54284U_191111_172039/15009376/ccs	-1	-1	Known	Novel	-1	70.0	185.0
SIRV6.1	m54284U_191111_172039/159451952/ccs	SIRV6.1	m54284U_191111_172039/159451952/ccs	SIRV6.1	m54284U_191111_172039/159451952/ccs	-1	-1	Known	Novel	-1	139.0	260.0
SIRV1.1	m54284U_191111_172039/20251766/ccs	SIRV1.1	m54284U_191111_172039/20251766/ccs	SIRV1.1	m54284U_191111_172039/20251766/ccs	-1	-1	Known	Novel	-1	4.0	11.0
SIRV1.2	m54284U_191111_172039/23201588/ccs	SIRV1.2	m54284U_191111_172039/23201588/ccs	SIRV1.2	m54284U_191111_172039/23201588/ccs	-1	-1	Known	Novel	-1	43.0	110.0
SIRV3.1	m54284U_191111_172039/26149142/ccs	SIRV3.1	m54284U_191111_172039/26149142/ccs	SIRV3.1	m54284U_191111_172039/26149142/ccs	-1	-1	Known	Novel	-1	161.0	339.0
SIRV7.1	m54284U_191111_172039/34998574/ccs	SIRV7.1	m54284U_191111_172039/34998574/ccs	SIRV7.1	m54284U_191111_172039/34998574/ccs	-1	-1	Known	Novel	-1	4.0	2.0
SIRV3.1	m54284U_191111_172039/38076454/ccs	SIRV3.1	m54284U_191111_172039/38076454/ccs	SIRV3.1	m54284U_191111_172039/38076454/ccs	-1	-1	Known	Novel	-1	3.0	6.0
SIRV5.1	m54284U_191111_172039/56557616/ccs	SIRV5.1	m54284U_191111_172039/56557616/ccs	SIRV5.1	m54284U_191111_172039/56557616/ccs	-1	-1	Known	Novel	-1	0.0	2.0
SIRV5.1	m54284U_191111_172039/70975656/ccs	SIRV5.1	m54284U_191111_172039/70975656/ccs	SIRV5.1	m54284U_191111_172039/70975656/ccs	-1	-1	Known	Novel	-1	185.0	412.0
SIRV7.1	m54284U_191111_172039/78579038/ccs	SIRV7.1	m54284U_191111_172039/78579038/ccs	SIRV7.1	m54284U_191111_172039/78579038/ccs	-1	-1	Known	Novel	-1	0.0	2.0
SIRV5.1	m54284U_191111_172039/83625146/ccs	SIRV5.1	m54284U_191111_172039/83625146/ccs	SIRV5.1	m54284U_191111_172039/83625146/ccs	-1	-1	Known	Novel	-1	152.0	265.0
SIRV1.1	m54284U_191111_172039/96338881/ccs	SIRV1.1	m54284U_191111_172039/96338881/ccs	SIRV1.1	m54284U_191111_172039/96338881/ccs	-1	-1	Known	Novel	-1	2.0	4.0
